time,temperature_2m,relative_humidity_2m,wind_speed_10m
2025-01-30T11:00,19.6,53.0,4.0
2025-01-30T12:00,21.1,49.0,4.7
2025-01-30T13:00,22.1,45.0,5.9
2025-01-30T14:00,22.5,41.0,6.6
2025-01-30T15:00,22.5,39.0,6.7
2025-01-30T16:00,22.0,40.0,6.4
2025-01-30T17:00,20.0,58.0,3.5
2025-01-30T19:00,17.6,62.0,3.5
2025-01-30T20:00,16.6,63.0,3.6
2025-01-30T21:00,15.8,64.0,4.0
2025-01-31T00:00,13.3,72.0,5.2
2025-01-31T01:00,12.9,69.0,4.4
2025-01-31T02:00,11.7,69.0,5.4
2025-01-31T03:00,10.7,68.0,4.7
2025-01-31T04:00,10.2,67.0,3.8
2025-01-31T05:00,10.0,64.0,3.5
