Date,Close_TATAMOTORS.NS,High_TATAMOTORS.NS,Low_TATAMOTORS.NS,Open_TATAMOTORS.NS,Volume_TATAMOTORS.NS,Close_TCS.NS,High_TCS.NS,Low_TCS.NS,Open_TCS.NS,Volume_TCS.NS,Close_PEP,High_PEP,Low_PEP,Open_PEP,Volume_PEP,Close_HLF,High_HLF,Low_HLF,Open_HLF,Volume_HLF
,TATAMOTORS.NS_TATAMOTORS.NS,TATAMOTORS.NS_TATAMOTORS.NS,TATAMOTORS.NS_TATAMOTORS.NS,TATAMOTORS.NS_TATAMOTORS.NS,TATAMOTORS.NS_TATAMOTORS.NS,TCS.NS_TCS.NS,TCS.NS_TCS.NS,TCS.NS_TCS.NS,TCS.NS_TCS.NS,TCS.NS_TCS.NS,PEP_PEP,PEP_PEP,PEP_PEP,PEP_PEP,PEP_PEP,HLF_HLF,HLF_HLF,HLF_HLF,HLF_HLF,HLF_HLF
2008-01-01,130.12879943847656,130.83718599924956,125.80170047941411,126.65517859098915,6914777.0,196.84130859375,201.03179511589127,196.3653189061445,201.03179511589127,928388.0,,,,,,,,,,
2008-01-02,135.45445251464844,136.04334065517781,128.5327912204569,130.8969065616391,10611582.0,195.991943359375,198.04519228980655,192.5387519763765,197.85853329613096,2864924.0,45.8127326965332,46.49423602797975,45.45981107976473,46.49423602797975,4899100.0,8.55478286743164,8.83719045755952,8.496128849462465,8.83719045755952,2284400.0
2008-01-03,135.12158203125,139.28653106912176,133.150063452016,136.5554124896282,10581493.0,188.7216339111328,195.05871106099755,187.65767502679267,192.27748660455313,5168280.0,46.11086654663086,46.75585739845737,45.81271101128683,45.87355841653018,4728400.0,8.354926109313965,8.661229926778907,8.317996255594073,8.659057923668776,2329200.0
2008-01-04,133.4231719970703,140.6691444644301,131.63088736652793,136.55540909895976,9271718.0,187.6296844482422,190.93355200176873,187.0883686313949,188.7216353633734,2318868.0,45.97092819213867,46.488138215154535,45.812721189469656,45.812721189469656,5493200.0,8.34189224243164,8.506991821877916,8.239790696048251,8.294099888176861,4224800.0
2008-01-07,134.06329345703125,137.88684634655436,130.23974056750814,133.6536256197559,7606509.0,182.10452270507812,188.30160401715287,181.52588434037798,186.65900703380768,3647344.0,47.047950744628906,47.120970446293356,46.062205662784876,46.15956526500415,7584800.0,8.309307098388672,8.552612067667047,8.235446557699737,8.367961130290995,4860800.0
2008-01-08,132.27098083496094,136.47005829717773,130.64938101796446,134.84845848018125,7345470.0,184.39109802246094,185.16573746917967,180.92857567394344,182.92582935463312,3207732.0,47.42520523071289,48.064110116998,46.956670338409815,47.37043930196808,7153800.0,8.517854690551758,8.637334764272323,8.37013360092511,8.37013360092511,3741200.0
2008-01-09,131.46873474121094,134.33639580673713,128.70348722980083,130.92251099697498,6054977.0,185.9683837890625,187.7789786048587,184.77377286818825,185.68839525237533,2450128.0,47.91200256347656,48.26492420394183,47.44955831979306,47.46172595047444,9288800.0,8.635161399841309,8.748124616967866,8.526543017453367,8.561300866669809,4130400.0
2008-01-10,127.88416290283203,136.89682829492213,127.013627228427,133.65362792514537,17651909.0,183.23387145996094,188.43232174240524,179.56601636076655,186.28574254474532,3342376.0,48.41704559326172,48.55091274387387,47.59559356456947,47.912003031356576,7874900.0,8.587369918823242,8.75681517607373,8.476579522156742,8.526543883688111,1610400.0
2008-01-11,130.2567901611328,133.1329865495216,125.6565803403038,133.1329865495216,6703412.0,184.7458038330078,187.40569542646108,170.85836527218802,170.85836527218802,2149188.0,47.32783126831055,48.173622700668425,46.664586686510745,48.07626778476757,8061200.0,9.11308479309082,9.143497815394609,8.682955987595745,8.908881651292182,8686400.0
